epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16696.8,1.11705,0.65524,0.82417,0.85884,0.88629,0.91533,0.57479,1.18328,0.96003,0.82409,0.005842,0.005842,0.005842
44,17086.2,1.10632,0.64187,0.82651,0.85668,0.89384,0.91682,0.57846,1.17949,0.97131,0.82419,0.005743,0.005743,0.005743
45,17474.2,1.10362,0.6413,0.8244,0.85298,0.89878,0.91768,0.57324,1.1872,0.94106,0.82481,0.005644,0.005644,0.005644
46,17862.2,1.09892,0.63648,0.82655,0.84369,0.90624,0.91518,0.56509,1.21507,0.96543,0.82788,0.005545,0.005545,0.005545
47,18250.1,1.09452,0.62698,0.82556,0.8673,0.88743,0.92023,0.57121,1.19736,0.97743,0.82539,0.005446,0.005446,0.005446
48,18637.9,1.09215,0.62484,0.82743,0.85001,0.90135,0.91566,0.57835,1.18111,0.95987,0.82441,0.005347,0.005347,0.005347
49,19026,1.09165,0.63096,0.82281,0.85575,0.89473,0.91823,0.58858,1.16727,0.97097,0.8218,0.005248,0.005248,0.005248
50,19414,1.0798,0.61957,0.82504,0.84564,0.90999,0.91814,0.57396,1.19341,0.96234,0.82491,0.005149,0.005149,0.005149
51,19801.9,1.08637,0.62318,0.8271,0.87415,0.89385,0.92219,0.58182,1.17475,0.93872,0.8225,0.00505,0.00505,0.00505
52,20189.9,1.07322,0.60978,0.82266,0.87411,0.89413,0.92315,0.58352,1.18452,0.95367,0.82354,0.004951,0.004951,0.004951
53,20577.6,1.08314,0.60909,0.82341,0.85287,0.90873,0.92112,0.58342,1.17722,0.94574,0.82254,0.004852,0.004852,0.004852
54,20965.5,1.07147,0.60497,0.82124,0.8666,0.90201,0.92408,0.58241,1.18923,0.94733,0.82432,0.004753,0.004753,0.004753
55,21353.4,1.06126,0.59798,0.82211,0.86199,0.90376,0.92499,0.58478,1.18946,0.96163,0.82333,0.004654,0.004654,0.004654
56,21741.3,1.05544,0.59654,0.82041,0.87197,0.8965,0.92252,0.5879,1.17745,0.94765,0.82256,0.004555,0.004555,0.004555
57,22129,1.04912,0.59212,0.81985,0.87066,0.8877,0.92207,0.58974,1.18074,0.95682,0.82346,0.004456,0.004456,0.004456
58,22516.9,1.04681,0.58318,0.81964,0.86341,0.89534,0.92233,0.58759,1.1801,0.96182,0.8224,0.004357,0.004357,0.004357
59,22904.7,1.04668,0.58841,0.82273,0.85719,0.9185,0.9276,0.5918,1.16769,0.94952,0.8222,0.004258,0.004258,0.004258
60,23293.1,1.04322,0.5832,0.81867,0.86971,0.89901,0.92477,0.59363,1.16288,0.95834,0.82126,0.004159,0.004159,0.004159
61,23681.2,1.04401,0.58321,0.82023,0.86668,0.90146,0.92217,0.58492,1.18201,0.95801,0.82309,0.00406,0.00406,0.00406
62,24069.3,1.03954,0.58164,0.8175,0.86355,0.90479,0.92177,0.58622,1.17791,0.95303,0.82216,0.003961,0.003961,0.003961
63,24457.3,1.02908,0.57607,0.81609,0.86468,0.90548,0.92269,0.58647,1.1749,0.95517,0.82214,0.003862,0.003862,0.003862
64,24845.3,1.02196,0.56701,0.81552,0.86047,0.90503,0.92314,0.58941,1.1728,0.97441,0.82204,0.003763,0.003763,0.003763
65,25233.1,1.03242,0.57195,0.81596,0.86469,0.90016,0.92285,0.58643,1.17367,0.97487,0.82203,0.003664,0.003664,0.003664
66,25621.1,1.02663,0.56624,0.81525,0.85748,0.90078,0.92175,0.58343,1.18495,0.97619,0.82333,0.003565,0.003565,0.003565
67,26009.1,1.0128,0.56063,0.81662,0.86462,0.90283,0.92201,0.5833,1.18607,0.97172,0.82331,0.003466,0.003466,0.003466
68,26396.9,1.02044,0.56312,0.8164,0.85957,0.90879,0.92193,0.58542,1.182,0.9696,0.82269,0.003367,0.003367,0.003367
69,26784.9,1.01416,0.55191,0.81689,0.85845,0.9109,0.92265,0.58721,1.1788,0.96609,0.8219,0.003268,0.003268,0.003268
70,27172.8,1.00608,0.55099,0.81466,0.86125,0.91078,0.92274,0.5919,1.16807,0.96397,0.82097,0.003169,0.003169,0.003169
71,27560.7,1.00365,0.54698,0.81787,0.86,0.91145,0.92329,0.59429,1.16292,0.96485,0.82077,0.00307,0.00307,0.00307
72,27949,1.01139,0.55184,0.81403,0.85933,0.91046,0.92287,0.59386,1.16059,0.96777,0.82096,0.002971,0.002971,0.002971
73,28337.2,1.00361,0.54417,0.81305,0.8561,0.91379,0.92387,0.5961,1.1595,0.96551,0.82089,0.002872,0.002872,0.002872
74,28725.6,0.9987,0.53856,0.81647,0.85805,0.9147,0.92527,0.59007,1.17116,0.95449,0.8218,0.002773,0.002773,0.002773
75,29113.9,0.98798,0.53863,0.81043,0.86008,0.9109,0.92555,0.59098,1.17336,0.9562,0.82199,0.002674,0.002674,0.002674
76,29502,0.98361,0.53838,0.81229,0.86002,0.91125,0.92564,0.59016,1.17311,0.95875,0.8218,0.002575,0.002575,0.002575
77,29890.3,0.98133,0.52795,0.81062,0.85773,0.91222,0.92598,0.59256,1.1722,0.96717,0.82159,0.002476,0.002476,0.002476
78,30278.3,0.97288,0.52432,0.81151,0.8644,0.9026,0.92611,0.59286,1.16989,0.96995,0.82141,0.002377,0.002377,0.002377
79,30666.3,0.97951,0.52669,0.81136,0.86057,0.90334,0.92637,0.59366,1.16879,0.97812,0.82146,0.002278,0.002278,0.002278
80,31054.7,0.97655,0.52632,0.81237,0.86079,0.90122,0.92573,0.59453,1.16861,0.97905,0.82146,0.002179,0.002179,0.002179
81,31443.1,0.96077,0.51915,0.81025,0.85656,0.90296,0.92488,0.59571,1.16777,0.98136,0.82173,0.00208,0.00208,0.00208
82,31831.3,0.95808,0.51385,0.81013,0.86484,0.89925,0.92588,0.59634,1.16756,0.98233,0.82165,0.001981,0.001981,0.001981
83,32219.7,0.95668,0.51212,0.80793,0.86481,0.90125,0.92601,0.59493,1.17158,0.97967,0.8223,0.001882,0.001882,0.001882
84,32607.9,0.94887,0.51046,0.80984,0.8626,0.90377,0.92579,0.59461,1.17323,0.97882,0.82244,0.001783,0.001783,0.001783
85,32995.8,0.94543,0.50405,0.80589,0.86445,0.90302,0.92616,0.5942,1.17501,0.98049,0.82217,0.001684,0.001684,0.001684
86,33384.2,0.9433,0.50049,0.80705,0.86465,0.90437,0.92553,0.59492,1.17498,0.97935,0.82195,0.001585,0.001585,0.001585
87,33772.4,0.94181,0.49406,0.80498,0.86112,0.90696,0.92526,0.59601,1.17474,0.98165,0.82197,0.001486,0.001486,0.001486
88,34160.7,0.93992,0.49474,0.80608,0.85867,0.90761,0.925,0.59596,1.17465,0.98493,0.82206,0.001387,0.001387,0.001387
89,34549.5,0.9322,0.49824,0.80831,0.86117,0.90583,0.925,0.59553,1.17572,0.9858,0.8221,0.001288,0.001288,0.001288
90,34938,0.9339,0.4895,0.80668,0.86329,0.90577,0.92515,0.59558,1.17404,0.99291,0.82187,0.001189,0.001189,0.001189
91,35313.7,0.92589,0.48329,0.80637,0.86272,0.90731,0.92545,0.59581,1.17515,0.99454,0.82184,0.00109,0.00109,0.00109
92,35689.5,0.91377,0.47784,0.80609,0.86215,0.90669,0.92559,0.59557,1.17412,0.99341,0.82184,0.000991,0.000991,0.000991
93,36065.1,0.91532,0.47868,0.80437,0.85896,0.90972,0.92576,0.59533,1.17417,0.99306,0.8219,0.000892,0.000892,0.000892
94,36441.1,0.9075,0.46512,0.80326,0.85715,0.91029,0.92575,0.59658,1.17271,0.99569,0.82182,0.000793,0.000793,0.000793
95,36816.8,0.89844,0.46417,0.80709,0.85673,0.90975,0.92562,0.59771,1.17188,0.99814,0.82181,0.000694,0.000694,0.000694
96,37192.4,0.90218,0.4654,0.80152,0.85858,0.90819,0.92572,0.5986,1.17131,0.99912,0.82172,0.000595,0.000595,0.000595
97,37568.1,0.89134,0.45833,0.80328,0.85939,0.90768,0.92621,0.59898,1.16967,1.00052,0.82155,0.000496,0.000496,0.000496
98,37943.7,0.88684,0.45426,0.80202,0.86153,0.90636,0.9262,0.59928,1.16843,1.00193,0.82151,0.000397,0.000397,0.000397
99,38319.4,0.88955,0.45109,0.80274,0.86125,0.90783,0.92634,0.59935,1.16868,1.00476,0.8215,0.000298,0.000298,0.000298
100,38695.2,0.87893,0.44542,0.80109,0.86362,0.90474,0.92634,0.5997,1.16812,1.00602,0.82145,0.000199,0.000199,0.000199
